CLIENT,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
208,0,40,183,1,,,,,,1.04,,,,,,0,0,0,0,0.892857143,0.892857143,0,0,0,1,1,0,0,0,0,0,1,0,0,5.801785714
365,1,60,192,1,,,,,,2664.743214,,,,,,0,0,0,0,71.25,71.25,67.85714286,0,0,3,3,2,0,0,0,1,0,0,0.891785714,0
845,0,31,37,1,,,,,,459.5907143,,,,,,0,0,0,0,0.893928571,0.893928571,0,0,0,1,1,0,0,0,0,0,0,0,0,0
960,1,15,53,1,,,,,,515.3353571,,,,,,0,0,0,0,8.714285714,8.714285714,7.142857143,0,0,3,3,1,0,0,0,0,1,0,0,9.821428571
966,1,44,217,1,,,,,,476.2132143,,,,,,0,0,0,0,0.893928571,0.893928571,0,0,0,1,1,0,0,0,0,1,0,0,203.7907143,0
1109,0,25,46,1,,,,,,1706.419643,,,,,,0,0,0,0,1.218214286,1.218214286,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1308,0,22,10,1,,,,,,12.61285714,,,,,,0,0,0,0,0.893928571,0.893928571,0,0,0,1,1,0,0,0,0,0,1,0,0,12.96107143
1592,0,70,73,3,,,,,,71.61821429,,,,,,0,0,0,0,4.107142857,4.107142857,0,0,0,1,1,0,0,0,0,0,1,0,0,12.5
280,1,23,234,1,,,,,,0,,,,,,0.000357143,0.000357143,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
795,0,68,26,1,,1,,,,528.5796429,,12768.21357,,,,0.000357143,0.000357143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.33357143
856,0,5,62,1,,1,,,,660.1114286,,14777.41714,,,,0.000357143,0.000357143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,1,26,9,1,,,,,,169.9696429,,,,,,0.000357143,0.000357143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.107142857
981,1,34,59,1,,,,,,2754.492857,,,,,,0.000357143,0.000357143,1,1,14.28571429,14.28571429,14.28571429,0,0,1,1,1,0,0,0,0,0,0,0,0
995,0,13,48,1,,,,,,292.9007143,,,,,,0.000357143,0.000357143,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1115,1,31,6,1,,,,,,4069.934286,,,,,,0.000357143,0.000357143,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,1,0,0,12.86214286
1567,0,39,176,1,,,,,,5.519285714,,,,,,0.000357143,0.000357143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,1,45,38,1,,1,,,,74.36678571,,5907.593929,,,,0.000357143,0.000357143,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0
87,1,45,58,1,,19,,,,826.4403571,,1035.577143,,,,0.000357143,0.000357143,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,1,0,0,3.875178571,0,0
836,0,27,129,2,,,,,,920.6767857,,,,,,0.000357143,0.000357143,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,1,1,0,3.416607143,11,0
